[2015-09-28 08:55:09,614] <launcher-ui> INFO  launcher - Initializing UniFi Controller ...
[2015-09-28 08:55:09,893] <launcher-monitor> INFO  launcher - Starting UniFi Controller ...
[2015-09-28 08:55:09,896] <unifi-monitor> INFO  launcher - service_loop()
[2015-09-28 08:56:15,125] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:16,130] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:17,134] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:18,140] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:19,140] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:20,145] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:21,149] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:22,155] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:23,157] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:24,162] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:25,166] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:26,171] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:27,174] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:28,181] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:29,182] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:30,186] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:31,191] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:32,193] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:33,197] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:34,203] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:35,209] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:36,213] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:37,214] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:38,214] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:39,216] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:40,221] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:41,223] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:42,226] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:43,228] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:44,232] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:45,229] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:46,232] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:47,234] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:48,238] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:49,241] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:50,250] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:51,247] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:52,253] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:53,256] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
